Many ubnormal (?) ocurred in this summer.〔この夏は異常現象が頻発した。〕,phenomena,phenomenon,ocalts,phenix,phenixes
His company is manufacturing musical (?).〔彼の会社は楽器を製造している。〕,instruments,instructions,instructors,installations,installments
For (?) do like this.〔たとえば、こうしてごらん。〕,example,examination,exocist,exchange,exotic
The man lived in (?) these days.〔男はその頃ぜいたくな暮らしをしていた。〕,luxury,luck,lack,lux,lacquer
The public was in (?) of his policy.〔大衆は彼の政策を支持した。〕,favor,flavor,fame,fever,favorite
The experiment failed of (?).〔その実験は必然的に失敗した。〕,necessity,university,velocity,sensitivity,sexuality
To tell the (?) Susan is a man.〔本当のことを言うと、スーザンは男だ。〕 ,truth,lie,trust,reality,hont
The human was just an ape in (?).〔ヒトも元々はサルにすぎなかった。〕,origin,virgin,orient,orientation,oracle
They will be saved by (?) of love.〔彼らは愛によって救われるでしょう。〕,means,meeting,meaning,meat,method
The officer is on (?) now.〔その警官は今勤務中です。〕,duty,dirty,destiny,debt,dusty
